time,E,T,I,N
14.59,4.705204453322239,0.2399743873684924,0.0001899999999981,1.4999164158393348
14.6,4.693838693188459,0.2408491011788803,0.000189999999998,1.499916971079335
14.61,4.682599013314065,0.241749664018174,0.0001899999999979,1.499917522631922
14.62,4.6714865299304655,0.2426760715114536,0.0001899999999977,1.4999180705219377
14.63,4.66050233530189,0.2436283211518473,0.0001899999999976,1.4999186147740842
14.64,4.649647498211547,0.2446064121498234,0.0001899999999975,1.499919155412927
14.65,4.638923064851622,0.2456103452183962,0.0001899999999973,1.4999196924628948
14.66,4.62833005985016,0.2466401223338428,0.0001899999999972,1.499920225948283
14.67,4.617869485257216,0.247695746795439,0.0001899999999971,1.499920755893253
14.68,4.607542321618766,0.2487772229707026,0.000189999999997,1.499921282321838
14.69,4.5973495284489365,0.2498845561257025,0.0001899999999969,1.4999218052579408
14.7,4.587292044648936,0.2510177522588831,0.0001899999999968,1.4999223247253382
14.71,4.577370788909748,0.2521768179328358,0.0001899999999967,1.499922840747681
14.72,4.567586660098241,0.2533617601040048,0.0001899999999966,1.4999233533484977
14.73,4.557940537626383,0.2545725859503082,0.0001899999999965,1.499923862551194
14.74,4.548433282535001,0.2558093026059262,0.0001899999999964,1.4999243683790568
14.75,4.539065738228466,0.2570719169350841,0.0001899999999964,1.4999248708552548
14.76,4.529838729083089,0.2583604355651334,0.0001899999999963,1.4999253700028403
14.77,4.520753061635666,0.2596748645953118,0.0001899999999963,1.4999258658447516
14.78,4.511809524933282,0.2610152094050432,0.0001899999999962,1.499926358389011
14.79,4.50300889085104,0.2623814744617015,0.0001899999999962,1.4999268475137753
14.8,4.494351914395452,0.2637736631255835,0.0001899999999962,1.4999273333842715
14.81,4.485839333993378,0.2651917774520509,0.0001899999999962,1.4999278160221932
14.82,4.477471871766325,0.2666358179908049,0.0001899999999962,1.4999282954491064
14.83,4.469250234189195,0.2681057835814464,0.0001899999999962,1.4999287716864536
14.84,4.4611751123101335,0.2696016711469501,0.0001899999999963,1.4999292447555528
14.85,4.45324718139282,0.2711234754852928,0.0001899999999963,1.499929714677601
14.86,4.445467101488111,0.2726711890561506,0.0001899999999964,1.499930181473675
14.87,4.437835517656565,0.2742448017652122,0.0001899999999965,1.4999306451647327
14.88,4.430353060176753,0.2758443007453908,0.0001899999999966,1.499931105771615
14.89,4.423020344740051,0.2774696701348987,0.0001899999999967,1.499931563315047
14.9,4.415837972631891,0.2791208908521407,0.0001899999999968,1.4999320178156406
14.91,4.408806530900338,0.2807979403675876,0.000189999999997,1.4999324692938945
14.92,4.401926592949741,0.2825007925598928,0.0001899999999971,1.4999329177701968
14.93,4.3951987184548855,0.2842294174359471,0.0001899999999973,1.4999333632648264
14.94,4.388623453131383,0.2859837808216817,0.0001899999999975,1.499933805797954
14.95,4.382201329121705,0.2877638441750493,0.0001899999999977,1.499934245389645
14.96,4.375932865114267,0.289569564345133,0.000189999999998,1.4999346820598591
14.97,4.369818566450324,0.2914008933281742,0.0001899999999983,1.4999351158284533
14.98,4.363858925218726,0.2932577780204897,0.0001899999999986,1.4999355467151831
14.99,4.358054420338504,0.2951401599682594,0.0001899999999989,1.4999359747397043
15.0,4.352405517632679,0.2970479751178075,0.0001899999999992,1.4999363999215736
15.01,4.346912670093631,0.2989811537850277,0.0001899999999996,1.499936822280251
15.02,4.341576317761309,0.300939620212266,0.00019,1.4999372418351016
15.03,4.3363968876767975,0.3029232922174371,0.0001900000000004,1.499937658605396
15.04,4.331374793997964,0.3049320810299806,0.0001900000000006,1.4999380726103133
15.05,4.326510438017924,0.3069658910306913,0.0001900000000007,1.4999384838689414
15.06,4.321804208172224,0.3090246194890719,0.0001900000000008,1.499938892400279
15.07,4.317256480034712,0.3111081562982223,0.0001900000000009,1.4999392982232376
15.08,4.312867616302203,0.3132163837072714,0.000190000000001,1.4999397013566422
