,E,T,N
42.58,0.8333333333329581,4.1542447650577045e-13,1.5000000001615281
42.59,0.8333333333329572,3.958003030669315e-13,1.5000000001607061
42.6,0.8333333333329564,3.7624086640621637e-13,1.5000000001598848
42.61,0.8333333333329556,3.5674653787416033e-13,1.500000000159064
42.62,0.8333333333329547,3.3731768882131344e-13,1.5000000001582439
42.63,0.8333333333329538,3.1795469059821014e-13,1.5000000001574243
42.64,0.8333333333329529,2.98657914555433e-13,1.5000000001566054
42.65,0.833333333332952,2.794277320435137e-13,1.5000000001557872
42.660000000000004,0.8333333333329512,2.602645144129897e-13,1.5000000001549696
42.67,0.8333333333329503,2.411686330144389e-13,1.5000000001541527
42.68,0.8333333333329495,2.221404591983974e-13,1.5000000001533365
42.69,0.8333333333329487,2.0318036431541649e-13,1.5000000001525209
42.7,0.8333333333329478,1.842887197160286e-13,1.500000000151706
42.71,0.833333333332947,1.6546589675081772e-13,1.5000000001508917
42.72,0.8333333333329461,1.4671226677031348e-13,1.5000000001500784
42.730000000000004,0.8333333333329453,1.2802820112505525e-13,1.5000000001492655
42.74,0.8333333333329445,1.0941407116562112e-13,1.5000000001484537
42.75,0.8333333333329437,9.087024824254641e-14,1.5000000001476423
42.76,0.8333333333329429,7.239710370638109e-14,1.5000000001468319
42.77,0.8333333333329421,5.399500890766082e-14,1.5000000001460223
42.78,0.8333333333329412,3.5664335196965737e-14,1.5000000001452134
42.79,0.8333333333329405,1.7405453924827548e-14,1.5000000001444054
42.800000000000004,0.8333333333329397,-7.812635582114604e-16,1.500000000143598
42.81,0.8333333333329389,-1.889544590157932e-14,1.5000000001427916
42.82,0.8333333333329381,-3.693672175473767e-14,1.500000000141986
42.83,0.8333333333329374,-5.490471976713521e-14,1.5000000001411813
42.84,0.8333333333329366,-7.279906858823825e-14,1.5000000001403775
42.85,0.8333333333329358,-9.061939686746533e-14,1.5000000001395744
42.86,0.833333333332935,-1.0836533325428658e-13,1.5000000001387723
42.87,0.8333333333329344,-1.2603650639814574e-13,1.500000000137971
42.88,0.8333333333329336,-1.4363254494850746e-13,1.5000000001371707
42.89,0.8333333333329328,-1.6115307755479729e-13,1.5000000001363714
