,E,T,I
29.11,5.958410577909736,-9.129815802644671e-13,0.00018999999999733838
29.12,5.958487658279878,-1.0196109077098993e-12,0.00018999999999693283
29.13,5.958564610418027,-1.0841669305789241e-12,0.00018999999999669593
29.14,5.9586414345481336,-1.0914757451326355e-12,0.00018999999999668856
29.150000000000002,5.958718130843354,-1.0983209640688788e-12,0.00018999999999668262
29.16,5.958794699516306,-1.1046936193182528e-12,0.00018999999999667818
29.17,5.958871140779255,-1.1105848453097095e-12,0.0001899999999966752
29.18,5.958947454844114,-1.1159858821760742e-12,0.0001899999999966737
29.19,5.959023641922449,-1.1208880789595979e-12,0.00018999999999667373
29.2,5.959099702225476,-1.1252828968174784e-12,0.00018999999999667528
29.21,5.9591756359640655,-1.1291619122274098e-12,0.00018999999999667834
29.22,5.959251443348738,-1.132516820193106e-12,0.00018999999999668295
29.23,5.959327124589669,-1.1353394374498475e-12,0.0001899999999966891
29.240000000000002,5.959402679896687,-1.13762170567001e-12,0.0001899999999966968
29.25,5.959478109479277,-1.1393556946686029e-12,0.00018999999999670607
29.26,5.959553413546578,-1.1405336056088072e-12,0.00018999999999671688
29.27,5.959628592307385,-1.141147774207508e-12,0.00018999999999672927
29.28,5.959703645970152,-1.1411906739408329e-12,0.00018999999999674323
29.29,5.959778574742989,-1.1406549192496866e-12,0.00018999999999675876
29.3,5.959853378833666,-1.1395332687452877e-12,0.00018999999999677586
29.310000000000002,5.959928058449609,-1.1378186284147049e-12,0.00018999999999679454
29.32,5.960002613797908,-1.1355040548263924e-12,0.0001899999999968148
29.330000000000002,5.960077045085311,-1.1325827583357246e-12,0.0001899999999968366
29.34,5.960151352518227,-1.129048106290537e-12,0.00018999999999686
29.35,5.960225536302728,-1.1248936262366533e-12,0.00018999999999688493
29.36,5.960299596644549,-1.1201130091234335e-12,0.00018999999999691147
29.37,5.960373533749087,-1.1147001125092958e-12,0.00018999999999693952
29.38,5.960447347821404,-1.1086489637672673e-12,0.00018999999999696912
29.39,5.9605210390662275,-1.1019537632905049e-12,0.00018999999999700027
29.400000000000002,5.960594607687948,-1.0946088876978449e-12,0.00018999999999703296
29.41,5.9606680538906245,-1.0866088930393342e-12,0.00018999999999706714
29.42,5.960741377877983,-1.0779485180017566e-12,0.00018999999999710283
29.43,5.960814579853416,-1.068622687114189e-12,0.00018999999999714
29.44,5.960887660019984,-1.0586265139535132e-12,0.00018999999999717865
29.45,5.960960618580418,-1.0479553043499773e-12,0.00018999999999721876
29.46,5.961033455737118,-1.036604559592705e-12,0.00018999999999726034
29.47,5.961106171692154,-1.0245699796352612e-12,0.0001899999999973033
29.48,5.961178766647269,-1.0118474663011543e-12,0.0001899999999973477
29.490000000000002,5.9612512408038745,-9.984331264894045e-13,0.00018999999999739345
29.5,5.9613235943630585,-9.84323275380064e-13,0.00018999999999744056
29.51,5.961395827525579,-9.695144396397409e-13,0.00018999999999748903
29.52,5.961467940491872,-9.540033606271689e-13,0.00018999999999753882
29.53,5.961539933462042,-9.377869975987008e-13,0.00018999999999758986
29.54,5.961611806635876,-9.208625309138894e-13,0.00018999999999764217
29.55,5.961683560212832,-9.032273652409777e-13,0.0001899999999976957
29.560000000000002,5.961755194392048,-8.848791327624748e-13,0.00018999999999775045
29.57,5.961826709372337,-8.658156963806768e-13,0.00018999999999780634
29.580000000000002,5.961898105352192,-8.460351529231803e-13,0.00018999999999786337
29.59,5.961969382529784,-8.255358363484664e-13,0.0001899999999979215
29.6,5.962040541102963,-8.04316320951381e-13,0.00018999999999798066
29.61,5.962111581269264,-7.823754245687287e-13,0.00018999999999804086
29.62,5.962182503225897,-7.597122117847483e-13,0.00018999999999810203
29.63,5.962253307169757,-7.363259971367115e-13,0.00018999999999816416
29.64,5.962323993297421,-7.122163483203946e-13,0.00018999999999822718
29.650000000000002,5.962394561805149,-6.873830893956711e-13,0.00018999999999829104
29.66,5.962465012888885,-6.61826303992025e-13,0.0001899999999983557
29.67,5.96253534674426,-6.355463385140578e-13,0.00018999999999842114
29.68,5.962605563566585,-6.085438053470889e-13,0.00018999999999848728
29.69,5.962675663550862,-5.808195860626165e-13,0.00018999999999855406
29.7,5.962745646891778,-5.52374834623931e-13,0.00018999999999862147
29.71,5.962815513783707,-5.232109805915716e-13,0.00018999999999868943
29.72,5.962885264420712,-4.933297323289433e-13,0.00018999999999875787
29.73,5.962954898996544,-4.627330802077702e-13,0.00018999999999882674
29.740000000000002,5.963024417704645,-4.3142329981370476e-13,0.000189999999998896
29.75,5.9630938207381465,-3.9940295515183336e-13,0.00018999999999896557
29.76,5.96316310828987,-3.66674901852177e-13,0.0001899999999990354
29.77,5.963232280552332,-3.3324229037530754e-13,0.00018999999999910544
29.78,5.963301337717737,-2.9910856921779043e-13,0.00018999999999917556
29.79,5.963370279977986,-2.6427748811781615e-13,0.00018999999999924576
29.8,5.963439107524673,-2.287531012606387e-13,0.00018999999999931593
29.810000000000002,5.963507820549086,-1.9253977048419788e-13,0.00018999999999938603
29.82,5.963576419242209,-1.5564216848461924e-13,0.00018999999999945596
29.830000000000002,5.963644903794721,-1.1806528202170955e-13,0.00018999999999952564
29.84,5.963713274397,-7.981441512458508e-14,0.00018999999999959503
29.85,5.963781531239118,-4.089519229710101e-14,0.00018999999999966402
29.86,5.963849674379804,-6.6184631074147025e-15,0.00018999999999973996
29.87,5.963917704002988,2.2785115913859076e-14,0.00018999999999982312
29.88,5.963985620419346,5.222784289490367e-14,0.00018999999999990647
29.89,5.964053423817321,8.168541279275368e-14,0.00018999999999998998
29.900000000000002,5.964121114385048,1.1113291577651349e-13,0.0001900000000000736
29.91,5.9641886923103575,1.4054483221382287e-13,0.00019000000000015722
29.92,5.964256157780778,1.6989502765733152e-13,0.00019000000000024078
29.93,5.96432351098353,1.9915674783106165e-13,0.00019000000000032424
29.94,5.964390752105536,2.283026136169367e-13,0.0001900000000004075
29.95,5.964457881333411,2.5730461604113315e-13,0.0001900000000004905
29.96,5.9645248988534725,2.861341112606046e-13,0.00019000000000057317
29.97,5.964591804851734,3.1476181554944136e-13,0.00019000000000065544
29.98,5.964658599513911,3.4315780028538515e-13,0.00019000000000073721
29.990000000000002,5.96472528302542,3.7129148693620727e-13,0.00019000000000081842
30.0,5.964791855571373,3.991316420461715e-13,0.000190000000000899
30.01,5.9648583173365886,4.266463722225051e-13,0.00019000000000097883
30.02,5.964924668505589,4.5380311912177076e-13,0.00019000000000105784
30.03,5.9649909092625935,4.805686544363844e-13,0.00019000000000113596
30.04,5.965057039791531,5.069090748809749e-13,0.00019000000000121307
30.05,5.965123060276031,5.327897971789037e-13,0.00019000000000128913
30.060000000000002,5.965188970899429,5.581755530486362e-13,0.000190000000001364
30.07,5.965254771844767,5.830303841902114e-13,0.0001900000000014376
30.080000000000002,5.965320463294791,6.073176372717045e-13,0.00019000000000150984
30.09,5.965386045431957,6.309999589156118e-13,0.00019000000000158064
30.1,5.965451518438427,6.540392906853513e-13,0.00019000000000164987
30.11,5.965516882496071,6.763968640716397e-13,0.00019000000000171744
30.12,5.965582137786469,6.980331954789991e-13,0.00019000000000178328
30.13,5.965647284490908,7.189080812121264e-13,0.00019000000000184722
30.14,5.96571232279039,7.38980592462403e-13,0.0001900000000019092
30.150000000000002,5.965777252865623,7.582090702942762e-13,0.0001900000000019691
30.16,5.965842074897029,7.765511206317242e-13,0.00019000000000202682
30.17,5.965906789064744,7.939636092447118e-13,0.00019000000000208222
30.18,5.965971395548613,8.104026567355903e-13,0.0001900000000021352
30.19,5.966035894528198,8.258236335255824e-13,0.00019000000000218565
30.2,5.9661002861827725,8.401811548411759e-13,0.00019000000000223347
30.21,5.966164570691327,8.534290757006078e-13,0.0001900000000022785
30.22,5.9662287482325675,8.655204859002638e-13,0.0001900000000023206
30.23,5.966292818984916,8.764077050011542e-13,0.00019000000000235972
30.240000000000002,5.966356783126509,8.860422773153233e-13,0.0001900000000023957
30.25,5.966420640835204,8.943749668923037e-13,0.00019000000000242835
30.26,5.966484392288575,9.013557525055633e-13,0.00019000000000245765
30.27,5.966548037663917,9.069338226389248e-13,0.00019000000000248338
30.28,5.9666115771382415,9.110575704730257e-13,0.00019000000000250544
30.29,5.966675010888282,9.136745888717416e-13,0.0001900000000025237
30.3,5.966738339090492,9.147316653686386e-13,0.000190000000002538
30.310000000000002,5.966801561921048,9.141747771534036e-13,0.0001900000000025482
30.32,5.966864679555847,9.119490860582907e-13,0.00019000000000255417
30.330000000000002,5.966927692170512,9.079989335445557e-13,0.00019000000000255577
30.34,5.966990599940385,9.022678356889014e-13,0.00019000000000255282
30.35,5.967053403040537,8.946984781699084e-13,0.0001900000000025452
30.36,5.967116101645758,8.852327112544895e-13,0.00019000000000253276
30.37,5.967178695930571,8.738115447843077e-13,0.0001900000000025153
30.38,5.967241186069219,8.603751431622438e-13,0.00019000000000249273
30.39,5.967303572235675,8.44862820338803e-13,0.00019000000000246484
30.400000000000002,5.9673658546036386,8.272130347985862e-13,0.0001900000000024315
30.41,5.967428033346538,8.07363384546719e-13,0.00019000000000239252
30.42,5.967490108637529,7.852506020952664e-13,0.00019000000000234774
30.43,5.9675520806495,7.608105494497241e-13,0.000190000000002297
30.44,5.967613949555067,7.339782130953957e-13,0.00019000000000224013
